1,1,1
1,2,18
2,2,19
3,2,20
1,3,27
2,3,28
3,3,29
4,3,30
5,3,31
1,4,34
2,4,35
3,4,36
4,4,37
5,4,38
6,4,39
7,4,40
1,5,41
2,5,42
3,5,43
4,5,44
5,5,45
6,5,46
7,5,47
1,6,48
2,6,49
3,6,50
4,6,51
5,6,52
6,6,53
7,6,54
1,7,55
2,7,56
3,7,57
4,7,58
5,7,59
6,7,60
7,7,61
1,8,62
2,8,63
3,8,64
4,8,65
5,8,66
6,8,67
7,8,68
1,9,69
2,9,70
3,9,71
4,9,72
5,9,73
1,10,74
2,10,75
3,10,76
4,10,77
5,10,78
1,11,79
2,11,80
3,11,81
4,11,82
5,11,83
1,12,84
2,12,85
3,12,86
4,12,87
5,12,88
1,13,89
2,13,90
3,13,91
4,13,92
5,13,93
1,14,94
2,14,95
3,14,96
1,15,97
2,15,98
3,15,99
1,16,100
